agent-action,agent-action-update,map-update,reward,sum
212,122,73,46,453
208,121,73,46,448
206,126,68,44,444
209,119,75,48,451
202,129,70,44,445
204,126,71,46,447
210,121,73,45,449
210,122,73,46,451
207,122,69,44,442
206,122,72,48,448
206,127,71,47,451
210,123,72,46,451
211,120,76,51,458
211,128,74,48,461
212,123,69,44,448
207,121,73,47,448
210,125,70,44,449
209,123,74,46,452
208,123,70,49,450
209,126,73,46,454
209,122,72,46,449
206,123,76,49,454
210,125,68,44,447
209,123,75,46,453
211,125,70,49,455
202,127,74,45,448
212,127,74,45,458
207,125,74,48,454
209,125,72,44,450
212,125,73,44,454
214,120,70,50,454
204,130,74,47,455
211,128,70,44,453
230,123,74,47,474
207,122,73,61,463
227,139,82,52,500
233,132,73,47,485
225,129,76,52,482
219,133,72,51,475
220,122,71,50,463
224,130,76,46,476
225,131,78,51,485
225,125,75,56,481
285,137,95,65,582
217,138,88,70,513
241,144,85,51,521
206,130,70,51,457
263,165,94,77,599
233,148,79,57,517
212,127,70,46,455
211,119,76,43,449
205,120,69,48,442
207,131,70,44,452
219,133,75,44,471
211,119,68,43,441
202,122,71,44,439
210,125,74,45,454
207,126,71,44,448
218,124,69,42,453
204,118,75,46,443
204,123,70,43,440
203,123,71,45,442
209,125,83,49,466
238,145,85,52,520
209,124,70,45,448
216,140,86,60,502
243,122,75,46,486
208,125,71,47,451
209,142,69,43,463
207,125,73,44,449
205,120,68,46,439
204,129,72,44,449
207,121,72,43,443
204,124,69,47,444
211,126,70,43,450
204,126,72,44,446
204,122,70,49,445
203,129,70,44,446
204,122,70,45,441
200,126,71,45,442
204,121,72,43,440
206,122,70,50,448
203,123,70,44,440
209,125,73,44,451
206,119,70,47,442
202,128,71,43,444
208,120,72,43,443
206,123,69,42,440
204,123,70,43,440
207,126,72,44,449
202,121,68,44,435
206,126,72,44,448
207,120,69,49,445
201,129,71,45,446
207,120,72,44,443
204,124,73,46,447
200,124,70,46,440
208,124,75,44,451
202,122,70,43,437
197,123,73,43,436
203,119,1362,43,1727
210,120,68,47,445
200,123,70,43,436
210,120,71,43,444
203,150,74,50,477
208,128,68,46,450
215,119,73,44,451
212,121,68,43,444
215,124,68,43,450
213,128,71,52,464
209,125,69,45,448
211,125,69,45,450
205,118,71,43,437
212,120,68,43,443
205,126,70,44,445
214,119,70,45,448
205,119,68,47,439
209,126,71,44,450
204,118,70,48,440
206,125,67,43,441
206,123,70,44,443
211,124,67,47,449
198,123,70,44,435
212,125,71,43,451
205,118,67,43,433
213,125,67,43,448
212,118,70,45,445
207,122,66,43,438
208,123,67,43,441
215,122,70,47,454
214,123,67,43,447
208,126,69,44,447
211,123,69,48,451
208,130,68,43,449
205,121,71,43,440
212,122,67,43,444
200,125,67,43,435
205,122,75,43,445
205,120,68,43,436
203,126,71,44,444
207,118,66,49,440
202,133,71,43,449
206,122,77,49,454
219,121,68,50,458
202,138,75,49,464
203,128,70,44,445
209,119,68,48,444
203,126,67,43,439
208,121,72,43,444
204,123,70,43,440
203,124,67,43,437
224,139,72,44,479
202,122,67,43,434
210,124,73,44,451
206,121,67,43,437
208,124,71,45,448
207,121,67,48,443
203,127,69,44,443
215,120,69,43,447
205,126,68,49,448
201,125,68,44,438
204,133,75,49,461
215,127,69,46,457
199,127,69,46,441
204,118,72,44,438
204,129,70,46,449
206,126,72,44,448
203,122,71,49,445
202,121,70,44,437
201,127,69,47,444
211,119,71,44,445
203,129,72,47,451
207,125,70,45,447
207,123,70,49,449
206,122,67,43,438
213,129,69,46,457
212,120,69,45,446
206,131,69,46,452
209,125,70,44,448
208,124,71,50,453
