agent-action,agent-action-update,map-update,agent-reward,step
196.283,173.565,84.933,78.441,804.18
204.971,174.001,72.506,69.257,781.641
185.704,172.037,71.342,69.129,757.565
176.896,234.815,72.042,69.163,813.509
134.633,234.783,70.981,69.133,767.868
191.674,171.285,71.605,69.661,763.791
189.209,173.496,73.286,69.363,769.092
185.819,172.659,72.123,69.642,761.234
177.259,234.05,72.656,73.118,816.532
134.825,237.223,71.691,69.528,771.931
134.897,237.257,72.914,68.305,802.914
195.616,174.963,73.938,70.385,774.074
202.431,172.718,70.398,68.481,775.751
186.074,171.615,70.814,68.973,755.39
190.693,170.39,71.201,70.199,764.548
176.568,233.448,72.031,68.529,809.036
134.473,232.504,73.791,68.426,767.396
134.964,233.93,71.046,68.495,766.444
194.847,170.448,72.272,68.276,762.143
187.571,170.53,70.929,68.464,756.89
181.942,171.918,70.888,69.116,752.361
176.436,232.842,71.244,68.415,809.109
132.531,232.321,71.864,69.631,765.959
134.879,229.104,71.082,69.209,764.104
190.205,170.35,71.445,68.984,759.8
183.505,171.929,70.802,68.852,754.64
178.714,172.176,71.01,69.31,751.046
175.045,231.213,70.008,68.549,804.285
134.82,228.382,71.533,68.784,761.132
192.32,171.291,72.162,68.686,763.209
186.074,173.926,72.575,68.775,761.24
181.602,169.961,71.044,68.741,750.479
175.956,232.993,73.841,69.207,809.297
135.781,230.951,70.388,69.003,765.29
196.051,174.378,71.943,68.822,768.686
195.786,170.408,70.458,68.919,763.135
185.817,171.1,71.675,68.773,755.855
186.442,170.864,71.612,69.037,755.227
177.869,172.047,71.751,68.608,788.301
192.336,171.256,72.608,69.033,761.007
185.632,171.71,71.225,68.754,755.754
180.768,170.684,70.655,69.736,750.243
173.321,230.665,70.767,68.979,801.455
191.129,172.243,72.921,77.147,776.827
217.214,171.453,72.923,68.957,795.662
182.168,172.265,72.212,67.627,752.86
174.55,228.806,71.233,68.109,804.575
188.411,170.558,71.173,67.751,756.202
185.419,170.765,70.455,68.421,756.284
178.0,170.142,70.451,67.859,747.008
173.998,231.013,72.715,69.434,809.009
205.798,170.445,69.944,68.664,772.046
190.359,172.15,72.483,70.286,763.232
184.514,169.698,70.717,68.467,750.946
177.961,170.932,72.324,69.139,749.099
173.355,230.902,70.921,68.187,803.26
193.056,170.661,71.722,69.91,761.955
191.844,169.653,70.312,68.209,757.289
184.826,170.903,72.734,70.131,757.682
181.228,169.408,70.493,68.928,746.767
177.287,170.148,70.323,70.424,782.129
188.636,169.737,71.065,68.212,754.905
186.101,170.476,72.403,69.426,758.215
179.618,171.097,71.311,69.206,747.799
172.322,230.099,73.763,68.443,802.747
190.064,170.669,71.291,69.884,763.824
185.84,170.165,72.715,68.839,754.915
177.114,171.013,71.961,68.908,746.269
173.784,231.506,72.667,68.849,804.593
195.052,171.347,69.833,68.322,757.869
189.739,170.008,72.628,68.811,760.188
184.669,171.394,72.035,68.727,757.306
181.058,172.153,73.788,68.486,753.455
173.988,230.742,70.034,68.577,799.285
133.69,267.149,79.055,74.719,821.602
193.608,171.411,71.349,68.695,764.645
192.773,173.726,73.773,68.637,767.158
186.378,171.602,71.749,69.128,760.393
178.72,172.419,71.552,69.192,750.086
171.897,231.807,71.512,69.113,801.785
189.351,172.482,73.526,67.248,760.3
185.402,169.668,70.866,68.043,752.778
178.332,173.568,71.279,67.605,750.406
171.564,228.608,72.628,67.721,798.795
193.986,172.056,70.482,67.83,760.758
188.47,168.822,70.176,67.803,753.042
184.221,170.864,69.999,67.76,750.113
176.578,168.854,72.039,68.048,747.197
172.903,231.409,71.081,67.988,802.186
197.299,174.592,71.745,69.077,770.64
191.95,171.197,69.184,67.904,759.124
186.537,170.301,69.626,68.466,753.636
184.026,172.183,70.987,68.355,757.877
176.818,233.012,70.522,68.743,807.391
132.774,232.491,69.977,68.236,761.228
134.042,232.031,70.563,68.191,760.755
193.305,177.341,79.666,75.732,798.54
223.384,175.102,73.515,69.076,804.986
189.289,171.444,70.559,69.047,759.55
178.75,170.852,71.892,67.929,748.297
172.189,231.586,70.964,69.436,804.273
