agent-action,agent-action-update,map-update,agent-reward,step
211.69,202.342,89.35,86.359,879.905
201.962,199.065,87.832,86.546,863.646
195.983,273.669,88.347,86.011,934.625
152.663,261.293,94.369,93.172,898.777
162.781,258.382,87.682,85.472,885.388
243.144,203.873,88.611,86.152,919.11
208.672,196.005,97.08,94.791,893.836
249.446,198.514,89.029,85.476,914.852
196.88,198.137,87.602,84.978,855.663
193.443,257.76,88.089,85.222,914.221
150.788,300.291,89.438,85.172,916.153
218.215,200.445,87.647,86.577,881.821
207.33,199.402,88.243,85.089,868.87
202.36,196.737,86.74,87.521,866.297
231.837,197.475,88.341,85.402,900.402
191.992,238.191,80.442,100.197,891.41
206.991,196.361,86.535,85.541,861.356
203.328,198.077,87.334,85.248,862.996
196.785,200.241,88.512,91.836,873.016
221.323,257.179,88.895,85.837,944.219
207.683,200.504,88.072,85.461,873.717
202.534,196.156,85.747,84.911,855.239
197.264,197.202,86.562,84.967,853.832
193.248,256.837,86.602,85.18,908.71
150.539,259.443,86.539,85.54,869.531
208.377,198.296,86.975,85.043,865.87
204.357,197.149,87.105,85.258,859.346
197.328,198.836,96.441,92.757,875.188
195.561,260.217,85.479,85.326,914.384
151.417,259.12,89.947,86.145,873.352
213.74,198.327,88.322,86.897,873.12
216.572,197.862,88.281,86.093,877.297
210.053,198.255,87.229,85.437,869.151
201.428,197.503,87.074,85.368,858.927
192.401,266.812,88.042,85.976,936.911
151.14,258.447,89.496,85.627,870.517
212.785,200.108,87.465,87.326,873.361
205.297,200.517,88.046,85.358,865.815
201.624,197.037,87.807,85.908,858.867
197.839,257.806,86.18,84.452,927.266
178.373,261.518,88.463,85.75,912.163
153.672,264.499,90.075,85.301,879.882
214.312,197.791,87.05,86.379,871.116
210.869,197.131,86.815,84.918,870.509
201.891,197.363,89.331,87.948,867.137
198.882,198.293,86.748,84.757,860.124
192.824,264.471,86.253,89.386,921.223
154.907,260.964,88.392,86.13,878.541
211.252,198.761,87.048,85.332,869.522
209.125,197.775,89.135,87.327,876.485
205.695,198.949,90.679,85.447,903.032
199.785,201.121,87.549,85.059,862.704
